	rank	word	count	frequency
153	131	felt	106	0.000854714638197681
154	132	young	103	0.0008305246012675579
155	132	enough	103	0.0008305246012675579
156	132	myself	103	0.0008305246012675579
157	132	same	103	0.0008305246012675579
158	133	replied	102	0.0008224612556241836
159	133	Middleton	102	0.0008224612556241836
160	134	long	101	0.0008143979099808093
161	134	last	101	0.0008143979099808093
162	135	CHAPTER	100	0.0008063345643374349
163	135	over	100	0.0008063345643374349
164	136	many	99	0.0007982712186940605
165	136	moment	99	0.0007982712186940605
166	136	Lady	99	0.0007982712186940605
167	137	left	98	0.0007902078730506862
168	137	mind	98	0.0007902078730506862
169	138	still	97	0.0007821445274073119
170	138	go	97	0.0007821445274073119
171	139	come	96	0.0007740811817639375
172	139	less	96	0.0007740811817639375
173	139	happy	96	0.0007740811817639375
174	140	world	95	0.0007660178361205631
175	140	kind	95	0.0007660178361205631
176	141	therefore	93	0.0007498911448338145
177	141	cannot	93	0.0007498911448338145
178	141	both	93	0.0007498911448338145
179	142	quite	92	0.0007418277991904401
180	143	seemed	91	0.0007337644535470657
181	144	They	90	0.0007257011079036914
182	144	upon	90	0.0007257011079036914
183	144	us	90	0.0007257011079036914
184	145	where	89	0.0007176377622603171
185	145	believe	89	0.0007176377622603171
186	145	Barton	89	0.0007176377622603171
187	145	came	89	0.0007176377622603171
188	146	hope	88	0.0007095744166169427
189	146	place	88	0.0007095744166169427
190	147	morning	87	0.0007015110709735683
191	147	cried	87	0.0007015110709735683
192	148	town	86	0.000693447725330194
193	149	almost	85	0.0006853843796868197
194	149	nor	85	0.0006853843796868197
195	150	Project	84	0.0006773210340434453
196	150	Gutenberg	84	0.0006773210340434453
197	150	present	84	0.0006773210340434453
198	150	Her	84	0.0006773210340434453
199	151	family	83	0.0006692576884000709
200	151	really	83	0.0006692576884000709
201	151	indeed	83	0.0006692576884000709
202	152	till	82	0.0006611943427566967
203	152	brother	82	0.0006611943427566967
204	152	tell	82	0.0006611943427566967
205	153	like	80	0.0006450676514699479
206	153	No	80	0.0006450676514699479
207	154	affection	79	0.0006370043058265735
208	155	better	78	0.0006289409601831993
209	155	few	78	0.0006289409601831993
210	155	heard	78	0.0006289409601831993
211	156	love	77	0.0006208776145398249
212	156	Palmer	77	0.0006208776145398249
213	157	In	76	0.0006128142688964505
214	157	way	76	0.0006128142688964505
215	157	down	76	0.0006128142688964505
216	157	letter	76	0.0006128142688964505
217	158	person	74	0.0005966875776097019
218	158	wish	74	0.0005966875776097019
219	158	another	74	0.0005966875776097019
220	159	feelings	73	0.0005886242319663275
221	159	rather	73	0.0005886242319663275
222	159	together	73	0.0005886242319663275
223	159	found	73	0.0005886242319663275
224	160	His	72	0.0005805608863229531
225	160	once	72	0.0005805608863229531
226	160	immediately	72	0.0005805608863229531
227	161	gave	71	0.0005724975406795787
228	161	done	71	0.0005724975406795787
229	161	something	71	0.0005724975406795787
230	161	our	71	0.0005724975406795787
231	161	hear	71	0.0005724975406795787
232	162	least	70	0.0005644341950362045
233	163	home	69	0.0005563708493928301
234	163	whom	69	0.0005563708493928301
235	163	subject	69	0.0005563708493928301
236	163	spirits	69	0.0005563708493928301
237	164	woman	68	0.0005483075037494557
238	164	yet	68	0.0005483075037494557
239	164	What	68	0.0005483075037494557
240	164	told	68	0.0005483075037494557
241	165	pleasure	67	0.0005402441581060813
242	165	far	67	0.0005402441581060813
243	165	Oh	67	0.0005402441581060813
244	165	just	67	0.0005402441581060813
245	166	whole	66	0.0005321808124627071
246	166	feel	66	0.0005321808124627071
247	166	between	66	0.0005321808124627071
248	166	happiness	66	0.0005321808124627071
249	166	hardly	66	0.0005321808124627071
250	167	against	65	0.0005241174668193327
251	168	acquaintance	64	0.0005160541211759583
252	168	behaviour	64	0.0005160541211759583
253	168	look	64	0.0005160541211759583
254	168	visit	64	0.0005160541211759583
255	169	opinion	63	0.000507990775532584
256	169	comfort	63	0.000507990775532584
257	169	My	63	0.000507990775532584
258	169	perhaps	63	0.000507990775532584
259	170	This	62	0.0004999274298892097
260	170	within	62	0.0004999274298892097
261	170	towards	62	0.0004999274298892097
262	170	engagement	62	0.0004999274298892097
263	170	friends	62	0.0004999274298892097
264	171	knew	61	0.0004918640842458353
265	171	because	61	0.0004918640842458353
266	171	speak	61	0.0004918640842458353
267	171	t	61	0.0004918640842458353
268	172	If	60	0.0004838007386024609
269	172	three	60	0.0004838007386024609
270	172	known	60	0.0004838007386024609
271	172	looked	60	0.0004838007386024609
272	172	others	60	0.0004838007386024609
