	rank	word	count	frequency
61	58	only	216	0.0024725557755926695
62	59	much	206	0.0023580856007967125
63	60	do	204	0.002335191565837521
64	61	such	201	0.002300850513398734
65	62	when	197	0.0022550624434803514
66	63	my	193	0.0022092743735619685
67	64	Lady	191	0.0021863803386027772
68	65	who	189	0.0021634863036435856
69	66	should	186	0.0021291452512047985
70	66	me	186	0.0021291452512047985
71	67	It	183	0.0020948041987660115
72	68	good	181	0.0020719101638068203
73	69	little	175	0.002003228058929246
74	70	what	173	0.0019803340239700545
75	70	said	173	0.0019803340239700545
76	71	will	169	0.0019345459540516718
77	72	if	167	0.0019116519190924804
78	73	Charles	166	0.0019002049016128848
79	74	might	165	0.0018887578841332892
80	75	are	164	0.0018773108666536933
81	76	own	163	0.0018658638491740977
82	77	other	158	0.0018086287617761192
83	77	herself	158	0.0018086287617761192
84	78	did	156	0.0017857347268169278
85	79	never	153	0.0017513936743781407
86	80	time	151	0.0017284996394189493
87	81	think	149	0.001705605604459758
88	82	Russell	148	0.0016941585869801623
89	83	Sir	144	0.0016483705170617796
90	84	now	143	0.0016369234995821838
91	85	Walter	141	0.0016140294646229925
92	85	well	141	0.0016140294646229925
93	86	Mary	137	0.0015682413947046097
94	86	am	137	0.0015682413947046097
95	87	some	135	0.0015453473597454184
96	88	man	133	0.001522453324786227
97	89	again	131	0.0014995592898270356
98	89	nothing	131	0.0014995592898270356
99	90	Musgrove	130	0.00148811227234744
100	91	too	127	0.0014537712199086529
101	91	know	127	0.0014537712199086529
102	92	most	126	0.001442324202429057
103	93	see	124	0.0014194301674698656
104	94	Miss	123	0.00140798314999027
105	95	soon	121	0.0013850891150310786
106	95	your	121	0.0013850891150310786
107	96	father	117	0.001339301045112696
108	96	we	117	0.001339301045112696
109	97	before	116	0.0013278540276331003
110	98	great	115	0.0013164070101535045
111	99	without	114	0.0013049599926739089
112	100	first	112	0.0012820659577147174
113	100	two	112	0.0012820659577147174
114	100	Louisa	112	0.0012820659577147174
115	101	But	111	0.0012706189402351218
116	101	They	111	0.0012706189402351218
117	102	quite	110	0.001259171922755526
118	102	can	110	0.001259171922755526
119	103	always	109	0.0012477249052759304
120	104	though	107	0.001224830870316739
121	105	about	103	0.0011790428003983563
122	106	may	102	0.0011675957829187604
123	106	has	102	0.0011675957829187604
124	107	Bath	99	0.0011332547304799734
125	108	into	98	0.0011218077130003778
126	109	every	96	0.0010989136780411863
127	109	made	96	0.0010989136780411863
128	109	out	96	0.0010989136780411863
129	110	himself	95	0.0010874666605615907
130	110	long	95	0.0010874666605615907
131	111	up	93	0.0010645726256023993
132	111	say	93	0.0010645726256023993
133	111	seemed	93	0.0010645726256023993
134	112	You	92	0.0010531256081228037
135	112	how	92	0.0010531256081228037
136	113	make	90	0.0010302315731636122
137	113	thought	90	0.0010302315731636122
138	113	having	90	0.0010302315731636122
139	114	Elizabeth	89	0.0010187845556840166
140	115	last	87	0.0009958905207248252
141	115	go	87	0.0009958905207248252
142	115	better	87	0.0009958905207248252
143	116	found	85	0.0009729964857656337
144	116	same	85	0.0009729964857656337
145	117	Project	84	0.0009615494682860381
146	117	Gutenberg	84	0.0009615494682860381
147	117	over	84	0.0009615494682860381
148	117	many	84	0.0009615494682860381
149	118	however	83	0.0009501024508064424
