	rank	word	count	frequency
83	78	herself	236	0.0017889901302324171
84	79	before	228	0.0017283463970041997
85	80	though	224	0.0016980245303900908
86	81	never	222	0.0016828635970830364
87	82	think	221	0.0016752831304295093
88	83	only	218	0.0016525417304689277
89	83	can	218	0.0016525417304689277
90	84	sister	216	0.0016373807971618733
91	85	soon	214	0.0016222198638548189
92	86	may	210	0.00159189799724071
93	86	we	210	0.00159189799724071
94	87	You	206	0.0015615761306266014
95	87	might	206	0.0015615761306266014
96	88	some	205	0.001553995663973074
97	89	time	201	0.0015236737973589654
98	90	Wickham	200	0.0015160933307054381
99	91	most	199	0.001508512864051911
100	92	now	197	0.0014933519307448566
101	93	own	195	0.0014781909974378024
102	94	well	194	0.001470610530784275
103	94	good	194	0.001470610530784275
104	95	Collins	189	0.001432708197516639
105	96	little	188	0.001425127730863112
106	97	being	181	0.0013720644642884216
107	98	again	180	0.0013644839976348945
108	99	without	179	0.0013569035309813672
109	100	Lydia	175	0.0013265816643672585
110	101	every	174	0.0013190011977137312
111	102	how	170	0.0012886793310996226
112	102	make	170	0.0012886793310996226
113	103	nothing	169	0.0012810988644460953
114	104	after	166	0.0012583574644855137
115	105	Illustration	162	0.0012280355978714049
116	106	then	161	0.0012204551312178778
117	107	shall	160	0.0012128746645643507
118	108	first	158	0.0011977137312572962
119	108	say	158	0.0011977137312572962
120	109	man	157	0.001190133264603769
121	110	dear	156	0.0011825527979502418
122	111	see	154	0.0011673918646431874
123	112	room	153	0.0011598113979896603
124	113	And	151	0.0011446504646826059
125	113	family	151	0.0011446504646826059
126	114	great	147	0.001114328598068497
127	114	day	147	0.001114328598068497
128	115	too	145	0.0010991676647614428
129	115	Lady	145	0.0010991676647614428
130	116	out	144	0.0010915871981079155
131	116	into	144	0.0010915871981079155
132	117	mother	137	0.001038523931533225
133	118	two	136	0.001030943464879698
134	119	ever	135	0.0010233629982261709
135	119	father	135	0.0010233629982261709
136	120	himself	133	0.0010082020649191164
137	121	made	132	0.0010006215982655891
138	121	Catherine	132	0.0010006215982655891
139	122	however	130	0.000985460664958535
140	122	about	130	0.000985460664958535
141	122	young	130	0.000985460664958535
142	123	give	128	0.0009702997316514805
143	124	always	126	0.0009551387983444261
144	124	us	126	0.0009551387983444261
145	125	hope	125	0.0009475583316908989
146	125	They	125	0.0009475583316908989
147	126	away	123	0.0009323973983838445
148	127	its	121	0.0009172364650767901
149	128	cannot	118	0.0008944950651162086
150	128	up	118	0.0008944950651162086
151	128	many	118	0.0008944950651162086
152	128	last	118	0.0008944950651162086
153	129	way	117	0.0008869145984626814
154	129	letter	117	0.0008869145984626814
155	129	My	117	0.0008869145984626814
156	130	friend	115	0.0008717536651556269
157	131	thought	112	0.0008490122651950454
158	132	enough	111	0.0008414317985415182
159	133	If	107	0.0008111099319274094
160	134	felt	105	0.000795948998620355
161	134	go	105	0.000795948998620355
162	134	sure	105	0.000795948998620355
163	135	long	103	0.0007807880653133007
164	135	replied	103	0.0007807880653133007
165	136	love	102	0.0007732075986597735
166	136	saw	102	0.0007732075986597735
167	137	house	101	0.0007656271320062463
168	138	quite	98	0.0007428857320456647
169	138	better	98	0.0007428857320456647
170	138	wish	98	0.0007428857320456647
171	139	Lizzy	97	0.0007353052653921375
172	140	myself	96	0.0007277247987386103
173	140	manner	96	0.0007277247987386103
174	141	over	95	0.0007201443320850832
175	142	where	94	0.000712563865431556
176	142	pleasure	94	0.000712563865431556
177	142	came	94	0.000712563865431556
178	142	Gardiner	94	0.000712563865431556
179	143	done	93	0.0007049833987780288
180	143	often	93	0.0007049833987780288
181	144	feelings	92	0.0006974029321245016
182	144	even	92	0.0006974029321245016
183	145	come	91	0.0006898224654709744
184	145	cried	91	0.0006898224654709744
185	146	till	90	0.0006822419988174473
186	146	In	90	0.0006822419988174473
187	147	like	89	0.00067466153216392
188	147	really	89	0.00067466153216392
189	147	whom	89	0.00067466153216392
190	147	Oh	89	0.00067466153216392
191	148	believe	88	0.0006670810655103928
192	148	subject	88	0.0006670810655103928
193	148	aunt	88	0.0006670810655103928
194	148	having	88	0.0006670810655103928
195	148	Longbourn	88	0.0006670810655103928
196	149	Charlotte	87	0.0006595005988568656
197	150	does	86	0.0006519201322033384
198	151	When	85	0.0006443396655498113
199	151	heard	85	0.0006443396655498113
200	151	Her	85	0.0006443396655498113
201	152	Project	84	0.0006367591988962841
202	152	Gutenberg	84	0.0006367591988962841
203	153	ladies	83	0.0006291787322427569
204	153	daughter	83	0.0006291787322427569
205	153	His	83	0.0006291787322427569
206	154	anything	81	0.0006140177989357024
207	154	less	81	0.0006140177989357024
208	154	happy	81	0.0006140177989357024
209	155	indeed	80	0.0006064373322821753
