	rank	word	count	frequency
0	1	w	866	0.02410711800239401
1	2	się	731	0.02034907997661665
2	3	i	730	0.02032124265790719
3	4	na	551	0.01533836260891351
4	5	z	362	0.010077109372825209
5	6	I	316	0.008796592712189962
6	7	do	274	0.007627425326392562
7	8	to	264	0.007349052139297943
8	9	jak	254	0.0070706789522033235
9	10	s	245	0.006820143083818167
10	11	nie	217	0.0060406981599532335
11	12	że	197	0.0054839517857639955
12	13	the	172	0.004788018818027448
13	14	a	149	0.004147760487709823
14	15	A	134	0.003730200707067895
15	16	po	131	0.0036466887509395097
16	17	za	130	0.0036188514322300475
17	18	o	129	0.0035910141135205857
18	19	W	128	0.003563176794811124
19	20	of	114	0.003173454332878657
20	21	już	104	0.002895081145784038
21	22	od	102	0.0028394065083651144
22	23	Pan	101	0.002811569189655652
23	24	co	96	0.002672382596108343
24	25	tak	95	0.002644545277398881
25	26	Project	85	0.002366172090304262
26	26	Gutenberg	85	0.002366172090304262
27	27	Hrabia	82	0.0022826601341758763
28	28	nim	77	0.0021434735406285666
29	29	mu	73	0.002032124265790719
30	30	or	71	0.001976449628371795
31	30	Na	71	0.001976449628371795
32	31	był	70	0.0019486123096623333
33	32	and	67	0.0018651003535339475
34	33	Tadeusz	66	0.0018372630348244857
35	34	go	65	0.0018094257161150238
36	35	Bo	63	0.0017537510786961
37	36	jest	62	0.001725913759986638
38	37	in	58	0.0016145644851487905
39	38	you	57	0.0015867271664393285
40	39	Z	56	0.0015588898477298667
41	40	Jak	54	0.001503215210310943
42	40	Że	54	0.001503215210310943
43	40	Sędzia	54	0.001503215210310943
44	41	pod	53	0.001475377891601481
45	42	gdy	52	0.001447540572892019
46	43	przez	51	0.0014197032541825572
47	43	lecz	51	0.0014197032541825572
48	43	tu	51	0.0014197032541825572
49	43	jeszcze	51	0.0014197032541825572
50	43	Wojski	51	0.0014197032541825572
51	44	Ale	50	0.0013918659354730952
52	45	by	49	0.0013640286167636334
53	45	jéj	49	0.0013640286167636334
